"Begrip","Betekenis","Verwijzing","Woordenboek",,,,,
"Application Programming Interface","Application Programming Interface. Een programma waarmee applicaties onderling communiceren zonder dat mensen dit aansturen. Veelgebruikte methodes over het internet zijn bijvoorbeeld SOAP en REST. ",,"INFOSEC",,,,,
"Applicatie securitytest",,"Vulnerability assessment","INFOSEC",,,,,
"APT","Advanced Persistent Threat. Voortdurende dreiging van een geavanceerde tegenstander. Dit zijn met name statelijke actoren. Er wordt gebruik gemaakt van cyberaanvallen waarbij de aanvaller langere tijd in een informatiesysteem zit, zonder te worden opgemerkt. Of hij probeert langere tijd op allerlei manieren bij bepaalde informatie in het systeem te komen. Vaak wil de aanvaller hiermee informatie stelen of op een zeker moment het netwerk stilleggen. Een APT verschilt van een gewone dreiging door het motie, de gekozen middelen en de vasthoudendheid van de aanvaller.",,"INFOSEC",,,,,
"Architectuur","Het ontwerp en de opbouw van een computersysteem en netwerk. Het ontwerp regelt hoe businessprocessen, applicaties, data en technologie samenhangen. ",,"INFOSEC",,,,,
"Assessment","Onderzoek naar de risico’s van verschillende soorten dreigingen in één of meerdere digitale systemen. Voorbeelden van onderzoeken zijn penetratietesten, vulnerability assessments, red teaming en risico assessments.","Audit, risk assessment, vulnerability assessment, red teaming, penetratietest","INFOSEC",,,,,
"Asset","Informatie of digitale systemen die van waarde zijn voor een organisatie. Voorbeelden zijn: intellectueel eigendom, een klantendatabase, personeelsinformatie, etc.",,"INFOSEC",,,,,
"Assurance","Zekerheid dat je kunt vertrouwen op de kwaliteit van een bepaalde dienst of een bepaald proces.",,"INFOSEC",,,,,
"Assurance level","Mate van zekerheid waarin je kunt vertrouwen op de kwaliteit van een bepaalde dienst of een bepaald proces.",,"INFOSEC",,,,,
"Asymmetrische versleuteling","Informatie onbegrijpelijk maken voor anderen. Bijvoorbeeld een tekstbestand of netwerkverkeer. Dit wordt gedaan met twee sleutels, in tegenstelling tot symmetrische versleuteling waarbij één sleutel wordt gebruikt. De ontvanger heeft een andere sleutel dan de verzender. Ze delen die dus niet met elkaar. De informatie wordt onleesbaar gemaakt met een openbare sleutel van de ontvanger en de ontvanger gebruikt zijn persoonlijke sleutel om de informatie weer leesbaar te maken. Een andere functie is om met de persoonlijke sleutel een digitale handtekening te zetten onder data en met de openbare sleutel te controleren of de digitale handtekening waarheidsgetrouw is voor deze data.","Public Key Infrastructure","INFOSEC",,,,,
"Attack Surface",,"Aanvalsoppervlak","INFOSEC",,,,,
"Attributie","Duiden dat een bepaalde organisatie of groep aanvallers een aanval heeft uitgevoerd of dat heeft proberen te doen. ",,"INFOSEC",,,,,
"Auditor","Onderzoek waarmee men beoordeelt hoe de werkelijkheid zich verhoudt tot een bepaalde norm.",,"INFOSEC",,,,,
"Audit log","1. Bestand waarin is vastgelegd wanneer, wie, wat heeft gedaan in de computersysteem. Dit is soms zelfs een wettelijke verplichting zoals bijvoorbeeld het bijhouden van wanneer, welke zorgverlener in een  patientendossier heeft gekeken of wijzigingen heeft aangebracht. Als tweede wordt dit ook veelvuldig gebruikt om na te gaan wie bijvoorbeeld toegang heeft gehad tot computersystemen, informatie of onderdelen daarvan.  \newline 2. Bestand waarin staat in welke volgorde men de onderdelen van een audit heeft uitgevoerd. Een audit is een onderzoek waarin men beoordeelt hoe een organisatie functioneert.",,"INFOSEC",,,,,
"Beveiligingsbewustzijn","De mate waarin mensen risico’s herkennen en zich ervan bewust zijn dat deze de veiligheid van informatie in gevaar kunnen brengen.",,"INFOSEC",,,,,
"Beveiligingsincident","Gebeurtenis of actie waarbij de beveiliging van hardware, software, informatie, een proces of organisatie mogelijk in gevaar is gebracht of geheel of gedeeltelijk is doorbroken.",,"INFOSEC",,,,,
"Beveiligingslek","1. In de beveiliging is een kwetsbaarheid dat wat een risico oplevert in de breedste zin (bijvoorbeeld voor het gebruik van software, een bestuurder, een gebruiker of klant). Het kan bijvoorbeeld zijn een probleem in software, maar ook gedrag van mensen of het niet voldoen aan een standaard en/of regelgeving. \newline 2. Een beveiligingslek of kwetsbaarheid is een fout in een toegangsbeveiliging waardoor onbevoegden meer dan gewenste handelingsvrijheid kunnen krijgen. In de informatica, waar dit begrip doorgaans gebruikt wordt, wordt hiermee veelal een fout in de software bedoeld.","Kwetsbaarheid","INFOSEC",,,,,
"Kwetsbaarheid","1. In de beveiliging is een kwetsbaarheid dat wat een risico oplevert in de breedste zin (bijvoorbeeld voor het gebruik van software, een bestuurder, een gebruiker of klant). Het kan bijvoorbeeld zijn een probleem in software, maar ook gedrag van mensen of het niet voldoen aan een standaard en/of regelgeving. \newline 2. Een beveiligingslek of kwetsbaarheid is een fout in een toegangsbeveiliging waardoor onbevoegden meer dan gewenste handelingsvrijheid kunnen krijgen. In de informatica, waar dit begrip doorgaans gebruikt wordt, wordt hiermee veelal een fout in de software bedoeld.",,"INFOSEC",,,,,
"Kwetsbaarheden Analyse Tool ","De Kwetsbaarheden Analyse Tool is software, die op basis van bestaande tools en nieuwe oplossingen feiten verzamelt en deze tegen regels (business rules) checkt of hieruit kwetsbaarheden ontstaan. De software maakt deze kwetsbaarheden inzichtelijk. Het systeem is opgebouwd uit losse project, die tesamen komen in de verzamelterm KAT.","Kwetsbaarheid","INFOSEC",,,,,
"Beveiligingsmaatregel","Iets wat men doet om risico’s voor de veiligheid van informatie te verkleinen of weg te nemen. ",,"INFOSEC",,,,,
"BIA","Business Impact Analyse of Business Impact Assessment.","Business impact analyse","INFOSEC",,,,,
"Biometrie","Methode om vast te stellen wie iemand is. Men gebruikt hiervoor unieke kenmerken van het lichaam. Denk aan een vingerafdruk of irisscan.","Meerfactor authenticatie","INFOSEC",,,,,
"BIV","Model om drie verschillende kenmerken van informatiebeveiliging aan te duiden: beschikbaarheid, integriteit en vertrouwelijkheid van informatie en informatiesystemen. Met andere woorden: is de informatie en het systeem op het gewenste moment te zien en te gebruiken? Klopt de informatie? En wie mag de informatie zien en het systeem gebruiken?","CIA, Beschikbaarheid, Integriteit, Vertrouwelijkheid","INFOSEC",,,,,
"Blackbox test","Veiligheidstest die aangeeft dat de tester geen voorkennis van het systeem heeft.Je kunt ook op andere manieren testen: - Heeft de tester een beetje kennis? Dan heet het greybox test. - Bij veel voorkennis, zoals bijvoorbeeld toegang to de broncode, is het een whitebox test of crystalbox test.","Greybox, Chrystalbox, Whitebox, Pentest","INFOSEC",,,,,
"Blackhat hacker","Iemand die met kwade bedoelingen inbreekt in een computersysteem. De naam ‘blackhat’ komt uit cowboyfilms waarin slechteriken altijd een zwarte hoed dragen","Hacker, Greyhat hacker, Blackhat hacker","INFOSEC",,,,,
"Blacklisting","Actie waarmee men in een zwarte lijst vastlegt welke applicaties, gebruikers en acties men blokkeert. Al het andere dat niet op de lijst staat is dus wel toegestaan.",,"INFOSEC",,,,,
"Blockchain","Een digitaal overzicht waarin transacties worden gecontroleerd en opgeslagen als ze in orde zijn. Dat gebeurt via een netwerk van computers. Iedere nieuwe waarde die in het overzicht komt te staan, wordt berekend op basis van de vorige waarde. Vandaar de naam ‘chain’ (ketting). Het voordeel van een blockchain is dat er geen onafhankelijke persoon bij nodig is voor het valideren van de transacties, zoals een notaris. Men gebruikt blockchain voor verschillende doelen. Onder meer voor cryptovaluta, zoals de bitcoin. ","Cryptovaluta","INFOSEC",,,,,
"Blokkeren en filteren","Techniek waarmee op geautomatiseerde wijze domeinen of websites ontoegankelijk worden gemaakt. Of waarbij het onmogelijk wordt gemaakt specifieke informatie te delen. Blokkeren betekent dat een eindgebruiker geen toegang heeft tot een website op basis van de URL van die website. Bij filteren heeft de eindgebruiker geen toegang door bepaalde inhoud op de website. ","Filteren & blokkeren","INFOSEC",,,,,
"Blue team","Een blauw team is een groep individuen die informatiesystemen analyseert om de beveiliging te waarborgen, beveiligingsfouten te identificeren, de effectiviteit van elke beveiligingsmaatregel te verifiëren en om ervoor te zorgen dat alle beveiligingsmaatregelen ook na implementatie effectief blijven.","Adversary simulation","INFOSEC",,,,,
"Booter","Een dienst van criminelen om een DDoS-aanval mee uit te voeren.","Distributed Denial of Service","INFOSEC",,,,,
"Bot","Een computerprogramma dat zelfstandig taken kan uitvoeren. Bot is een afkorting van robot. Een bot kan onschuldig zijn, bijvoorbeeld als zoekmachines bots gebruiken om websites te vinden. Maar iemand kan een bot ook gebruiken om in te breken in een computer. Of om de computer zo klaar te maken dat een ander kan inbreken. Een computer die besmet is met een bot, noemt men ook wel een zombie. De gebruiker van een computer merkt vaak niets van een bot. ","Botnet, Command & Control server","INFOSEC",,,,,
"Bot herder","Iemand die een botnet beheert","Bot, Botnet","INFOSEC",,,,,
"Botnet","Een netwerk van computersystemen die zelfstandig kwaadaardige taken uitvoeren, zoals het versturen van spam of het uitvoeren van een DDoS-aanval. Een command-and-controlserver stuurt dit netwerk aan.","Command-and-control server","INFOSEC",,,,,
"Bounty program","Een bug bounty-programma is een deal die wordt aangeboden door veel websites, organisaties en softwareontwikkelaars waarmee individuen erkenning en compensatie kunnen ontvangen voor het melden van bugs, vooral die met betrekking tot beveiligingszwakheden in software en kwetsbaarheden in systemen.","Bug bounty program","INFOSEC",,,,,
"Broncode","De leesbare tekst die een programmeur heeft geschreven in een programmeertaal. Er bestaan verschillende programmeertalen, zoals C, C++, Python, PHP of pascal. De broncode wordt door een compiler omgezet naar een voor computer uitvoerbare machine code of tijdens de uitvoering door software geinterpreteerd in iets waar een computer mee kan werken.","Escrow","INFOSEC",,,,,
"Brute force aanval","Een aanvalsmethode waarbij iemand met een hulpmiddel alle mogelijkheden uitprobeert om een geheim te achterhalen. Bijvoorbeeld een wachtwoord.",,"INFOSEC",,,,,
"Bruto risico","Risico-inschatting waarbij niet wordt gekeken of men het risico kan verkleinen of wegnemen.","Risico","INFOSEC",,,,,
"Buffer overflow","Situatie waarin een programma of besturingssysteem problemen krijgt doordat het meer data moet opslaan dan in het stuk geheugen dat hiervoor beschikbaar is past. Gevolg is dat het programma of systeem onvoorspelbaar wordt. Soms crasht een computersysteem hierdoor. Of het voert commando’s uit die het normaal niet had mogen uitvoeren.","Kwetsbaarheid, bug","INFOSEC",,,,,
"Bug","Een fout in de hardware of software van een digitaal systeem.","Patch","INFOSEC",,,,,
"Bug bounty","Beloning die iemand krijgt als hij een beveiligingslek in een digitaal systeem heeft gevonden en gemeld. Men krijgt de beloning van de eigenaar van het digitale systeem.",,"INFOSEC",,,,,
"Business continuity","Hoe een organisatie erin slaagt om de bedrijfsprocessen door te laten gaan. Zelfs bij een grote verstoring.",,"INFOSEC",,,,,
"Business continuity impact","Hoe ernstig de gevolgen zijn van een groot beveiligingsincident, als belangrijke ICT-bedrijfsprocessen en applicaties uitvallen.",,"INFOSEC",,,,,
"Business continuity plan","Plan waarin staat wat te doen bij storingen die ernstige gevolgen hebben voor de organisatie",,"INFOSEC",,,,,
"Business e-mail compromise","Een incident waarbij de aanvaller is doorgedrongen tot de mailomgeving van een organisatie. De aanvaller kan deze toegang gebruiken om vertrouwelijke informatie te stelen of om nieuwe aanvallen mee uit te voeren. Bijvoorbeeld CxO-fraude.","CEO/CFO/CxO fraude","INFOSEC",,,,,
"Business Impact Analyse","Analyse waarin staat hoe de belangrijkste functies en processen in een organisatie eruit zien. Deze analyse is onderdeel van een Business Continuity Plan en kan men gebruiken om zich voor te bereiden op grote storingen.",,"INFOSEC",,,,,
"BYOD","Bring Your Own Device. Dit is als gebruikers van een computernetwerk hun eigen apparaten, zoals een privé telefoon of laptop, mogen mogen gebruiken voor zakelijk gebruik. Vaak mag dit alleen onder bepaalde voorwaarden.",,"INFOSEC",,,,,
"C&C server",,"Command-and-control server","INFOSEC",,,,,
"C2 server",,"Command-and-control server","INFOSEC",,,,,
"CA","Afkorting van Certificate Authority.","Certificate authority","INFOSEC",,,,,
"CAAS","Afkorting van Cybercrime-as-a-service.","Cybercrime-as-a-service","INFOSEC",,,,,
"Capacity building","Een netwerk opzetten van verantwoordelijke organisaties om de weerbaarheid van een land te vergroten op het vlak van cybersecurity en cybercrime.",,"INFOSEC",,,,,
"Captcha","Completely automated public turing test to tell computers and humans apart. Functie van een informatiesysteem om te controleren of de gebruiker een mens is. Bekende voorbeelden van captcha zijn dat de gebruiker een tekst op het scherm moet overtypen. Of dat hij kenmerken in foto’s moet herkennen.",,"INFOSEC",,,,,
"CASB","Afkorting van Cloud Access Security Broker.",,"INFOSEC",,,,,
"Catphishing","Een variant van phishing. Hierbij proberen oplichters persoonlijke gegevens van iemand te stelen via nagemaakte sociale netwerksites en datingsites. Bij die gegevens gaat het meestal om persoonlijke informatie, creditcardnummers of geld.","Phishing","INFOSEC",,,,,
"CEH","Certified Ethical Hacker. Dit is een certificering voor professionals in informatiebeveiliging, specifiek voor ethisch hacken.",,"INFOSEC",,,,,
"Censorship","Engelstalige aanduiding voor censuur. ","Censuur","INFOSEC",,,,,
"Censuur","Censuur is het gebruiken van de macht van de staat, een andere controlerende macht, een bepaalde groepering, of van bepaalde individuen, om informatie achter te houden of de expressie aan banden te leggen. De verwante term persbreidel geeft de maatregelen aan om de persvrijheid te beperken. Digitaal gebeurt dat bijvoorbeeld door informatie ontoegankelijk te maken of te zorgen dat dit niet meer wordt gedeeld.",,"INFOSEC",,,,,
"CEO/CFO/CxO fraude","Vorm van fraude waarbij een aanvaller e-mails verstuurt aan een financiële afdeling zogenaamd uit naam van de CEO of CFO van een bedrijf. De aanvaller wil hiermee een medewerker van de financiële afdeling overtuigen of onder druk zetten om geld over te maken",,"INFOSEC",,,,,
"CEO-fraude",,"CEO/CFO/CxO fraude","INFOSEC",,,,,
"CFO-fraude",,"CEO/CFO/CxO fraude","INFOSEC",,,,,
"CxO-fraude",,"CEO/CFO/CxO fraude","INFOSEC",,,,,
"CERT","Beschermde term (Afkorting van Computer Emergency Response Team) van Carnegie Mellon voor het eerste CSIRT ter wereld. Deze term mag onder bepaalde voorwaarden ook door andere CSIRT’s worden gebruikt.","CSIRT","INFOSEC",,,,,
"Certificaat","1. Digitaal document dat aantoont dat een product, digitaal systeem of persoon is wie hij zegt dat hij is. Dit kan bijvoorbeeld worden gebruikt om een beveiligde verbinding tot stand te brengen. Een erkende instantie (Certificate Authority) geeft het document uit. \newline 2. Een verklaring van een onafhankelijke instantie waarin staat dat een product, proces of persoon voldoet aan de eisen in het certificaat.",,"INFOSEC",,,,,
"Certificate authority","Erkende instantie die digitale certificaten uitgeeft. Daarvoor stelt ze eerst vast dat de aanvrager is wie hij zegt te zijn.","Certificaat","INFOSEC",,,,,
"Certificatie schema","Systeem om een bepaald type producten te beoordelen. De producten moeten voldoen aan dezelfde eisen, regels en procedures. Een certificeringssysteem staat in ISO/IEC 17000: 2004.","Certificering","INFOSEC",,,,,
"Certificerende instelling","Instantie of instelling die zogeheten certificaten onder accreditatie mag uitgeven. Voorbeeld van zo’n certificaat is ISO 27001. De instelling moet voldoen aan internationale eisen. In Nederland beoordeelt de Raad voor Accreditatie of de instelling onafhankelijk en deskundig is.","Certificatie schema","INFOSEC",,,,,
"Certificering","Het proces waarbij een erkende instantie of persoon met een schriftelijk bewijs verklaart dat een persoon, product, systeem of dienst voldoet aan bepaalde eisen, zoals bijvoorbeeld beschreven in een internationale standaard.","Certificerende instelling, certificatieschema","INFOSEC",,,,,
"Chatham house rule","Afspraak dat deelnemers de informatie die ze in een bijeenkomst delen bekend mogen maken aan anderen, zonder vermelding van de bron. De deelnemers mogen de informatie dus vrij gebruiken, maar ze mogen niet zeggen van wie de informatie komt.",,"INFOSEC",,,,,
"Chief Information Security Officer","Medewerker die verantwoordelijk is voor informatiebeveiliging.",,"INFOSEC",,,,,
"CIA","Confidentiality, Integrity en Availability. De Nederlandse afkorting is BIV: Beschikbaarheid, Integriteit en Vertrouwelijkheid, waarbij de termen in een andere volgorde worden genoemd","Beschikbaarheid, Integriteit, Vertrouwelijkheid","INFOSEC",,,,,
"CISM","Certified Information Security Manager. Dit is een certificering voor professionals in informatiebeveiliging.",,"INFOSEC",,,,,
"CISO","Chief Information Security Officer.","Chief Information Security Officer","INFOSEC",,,,,
"CISSP","Certified Information System Security Professional. Dit is een certificering voor professionals in informatiebeveiliging.",,"INFOSEC",,,,,
